Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
21,back,time,1996,MAG,Backpacker,"bit before hitting the trail. Then start hiking slowly to give your legs and back time to warm up. Stretch again on your first break, then gradually increase","bit before hitting the trail. Then start hiking slowly to give your legs and back time to warm up. Stretch again on your first break, then gradually increase",c52bff52c65118651c9b1fe8540532fc
22,setting,time,2012,BLOG,danariely.com,often and the other partner wishes to have intimacy more often. Can you imagine setting times for intimacy working? # My family is fairly busy -- we don't,often and the other partner wishes to have intimacy more often. Can you imagine setting times for intimacy working? # My family is fairly busy -- we don't,59582e62dc64aaf95f5dce3713390582
23,setting,time,2007,FIC,FantasySciFi,"ordinary person, remote viewing combined with precognition might seem not much more remarkable than setting time transceiver coordinates mentally while in a selfinduced state of trance. But several dozen","ordinary person, remote viewing combined with precognition might seem not much more remarkable than setting time transceiver coordinates mentally while in a selfinduced state of trance. But several dozen",847d1366b4d73194937bc3128daaa5da
24,setting,time,1999,MAG,SkyTelescope,"this table: Finally, the Moon's rapid orbital motion alters lunar rising and setting times slightly if your longitude differs from 90deg west. The Moon rises and sets","this table: Finally, the Moon's rapid orbital motion alters lunar rising and setting times slightly if your longitude differs from 90deg west. The Moon rises and sets",ef66888eb965b5456943c56de1557cd8
25,setting,time,1995,ACAD,RehabResrch,total contact cast was applied. Weightbearing was not allowed for 3 to 4 hrs setting time to assure sufficient hardening of the plaster inner shell. The subject then walked,total contact cast was applied. Weightbearing was not allowed for 3 to 4 hrs setting time to assure sufficient hardening of the plaster inner shell. The subject then walked,7288875b02d2a27ada0ef6b0220a3e5d
26,setting,time,1991,MAG,Compute,"ask for your location in longitude and latitude, not only to figure rising and setting times, but also to calculate the appearance of solar and lunar eclipses. You","ask for your location in longitude and latitude, not only to figure rising and setting times, but also to calculate the appearance of solar and lunar eclipses. You",371fa0ad133a27e12ce12eac3a65b913
27,outside,relationship,2014,ACAD,CollegeStud,"(Mietzner, 2005). An important defense against loneliness can be support from outside relationships, such as family and friends (Sadava & Matejcic, 1987).","(Mietzner, 2005). An important defense against loneliness can be support from outside relationships, such as family and friends (Sadava & Matejcic, 1987).",50818b3621b8f0ef145706a8756fc3a8
28,outside,relationship,2012,SPOK,PBS_Newshour,"intelligence agency like the CIA when someone seems to have had some sort of inappropriate outside relationship than it would be, say, if he were working for another domestic","intelligence agency like the CIA when someone seems to have had some sort of inappropriate outside relationship than it would be, say, if he were working for another domestic",42f38dd97275deebd7e20a45a19d5223
29,outside,relationship,2012,WEB,chronicle.com,"their decision, the NCAA could hurt Penn State's enrollment, recruiting, and outside relationships and partnerships, "" the source said. "" If you don't attract","their decision, the NCAA could hurt Penn State's enrollment, recruiting, and outside relationships and partnerships, "" the source said. "" If you don't attract",a6fe883e1e280e7428e3889371daea63
30,outside,relationship,2012,WEB,....clevelandclinic.org,. Cleveland Clinic strives to make scientific advances that will benefit patient care and support outside relationships that promise public benefit. In order for the discoveries of Cleveland Clinic physicians,. Cleveland Clinic strives to make scientific advances that will benefit patient care and support outside relationships that promise public benefit. In order for the discoveries of Cleveland Clinic physicians,6b768a4321a52f84e449f55f5fa4803f
31,outside,relationship,2012,BLOG,liquidhip.com,because he doubted his ability to do either. It didn't help watching several outside relationships he admired break down and fall apart. The ones who suffered the most,because he doubted his ability to do either. It didn't help watching several outside relationships he admired break down and fall apart. The ones who suffered the most,3fcb9bff03c48b4c6a6fa7cf7f483898
32,outside,relationship,2012,BLOG,polyamory.com (1),because I just wasn't that into her. He hadn't had any outside relationships until recently.. # He met a girl at a bar and started talking,because I just wasn't that into her. He hadn't had any outside relationships until recently.. # He met a girl at a bar and started talking,4cbb67fe4684d882e75a385426fb8379
33,outside,relationship,2009,SPOK,ABC_GMA,"should form a two-handed circle. And that's the way it should stay. Outside relationships, you always got to ask yourself, what good do they bring to","should form a two-handed circle. And that's the way it should stay. Outside relationships, you always got to ask yourself, what good do they bring to",2bb01cb62b664dfef7dcdd4427d0c6a3
34,outside,relationship,2004,MAG,Ebony,"very married Brother who has no intention of leaving his wife, but engages in outside relationships and leads his mistresses to believe that he will soon be ending the marriage","very married Brother who has no intention of leaving his wife, but engages in outside relationships and leads his mistresses to believe that he will soon be ending the marriage",588d5489cd8628885a5bf17f121184d5
35,outside,relationship,2004,MAG,Ebony,did it mean? There are basically two kinds of infidelity-opportunistic infidelity and a long-term outside relationship involving major investments of time and emotion. The opportunistic affair generally involves the,did it mean? There are basically two kinds of infidelity-opportunistic infidelity and a long-term outside relationship involving major investments of time and emotion. The opportunistic affair generally involves the,2dadc2fc68a590970cd3fc3c7f391d71
36,outside,relationship,2004,MAG,Ebony,"Marriages are also likely to dissolve quickly when one partner gets involved in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be","Marriages are also likely to dissolve quickly when one partner gets involved in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be",3d9f3d821ec920addea118eba06ce17d
37,outside,relationship,2004,MAG,Ebony,"in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be a strong indicator that the person may no longer feel emotionally connected","in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be a strong indicator that the person may no longer feel emotionally connected",dc8e7a9f38d4fa2b862484c201992fee
38,outside,relationship,2001,ACAD,Education,"provide financial, technical and programmatic assistance. They can facilitate interschool communication, nurture outside relationships and in many instances be the early inspiration for the project. There are","provide financial, technical and programmatic assistance. They can facilitate interschool communication, nurture outside relationships and in many instances be the early inspiration for the project. There are",ddc8e21be5bf6b36a7b70d62418edd91
39,outside,relationship,1995,MAG,Prevention,security. Appropriate boundaries that therapists must adhere to include things like not having an outside relationship with a client while she's in treatment; not counseling somebody with whom,security. Appropriate boundaries that therapists must adhere to include things like not having an outside relationship with a client while she's in treatment; not counseling somebody with whom,516b8766d141ef4125d86a0722686fd0
40,outside,relationship,1992,SPOK,CNN_Sonya,"responsible non-monogamy.' Currently, she lives with two other people and has additional outside relationships. Wow! I guess one-on-one isn't for you, a crowd is","responsible non-monogamy.' Currently, she lives with two other people and has additional outside relationships. Wow! I guess one-on-one isn't for you, a crowd is",23374ea83082b17d4bafecc4febce7d3
41,outside,relationship,1992,SPOK,CNN_Sonya,"n't disturb yourself over whatever you're doing including having the fantasies or having the outside relationships, or occasionally lusting for someone else, that's fine SONYA OK,","n't disturb yourself over whatever you're doing including having the fantasies or having the outside relationships, or occasionally lusting for someone else, that's fine SONYA OK,",5099f1b9e16a41926be932966d438e11
42,outside,relationship,1992,SPOK,CNN_Sonya,": But, I think there are some couples who are able to have the outside relationship, still maintain their love connection, not take time and affection away from",": But, I think there are some couples who are able to have the outside relationship, still maintain their love connection, not take time and affection away from",cb91f62fe5ab5731390268084d9bd378
43,outside,relationship,1992,SPOK,CNN_Sonya,", you know, the trend these days is that the figures of women having outside relationships is getting higher and I think, perhaps, because women have been able",", you know, the trend these days is that the figures of women having outside relationships is getting higher and I think, perhaps, because women have been able",4b2c530b161506d577b4ad40bd9bd752
44,outside,relationship,1992,SPOK,CNN_Sonya,"s one way of finding out. It depends on whether she's using the outside relationship as a supplement but really, firmly, is connected to her relationship or","s one way of finding out. It depends on whether she's using the outside relationship as a supplement but really, firmly, is connected to her relationship or",3d0c53d19a5f0d3ff87e10246be735ff
45,expansive,relationship,2016,MAG,Fox News,"as rivals faced expropriation and regulatory obstacles. # In 2011, Tillerson announced an expansive relationship with Russia's Rosneft that will spend years and billions of dollars developing technology","as rivals faced expropriation and regulatory obstacles. # In 2011, Tillerson announced an expansive relationship with Russia's Rosneft that will spend years and billions of dollars developing technology",3796b4a549f195d97d68510e49c510aa
