name,hasBoundRole2,type,label,hasBoundRole1
Binding_742,['Role_Frame_Responsibility_responsible_party'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Position.job_holder=Responsibility.responsible_party'],['Role_Frame_Position_job_holder']
Binding_360,['Role_Frame_Resource_amount'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Food.amount=Resource.amount'],['Role_Frame_Food_amount']
Binding_285,['Role_Frame_Difficulty_objective'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic difficulty.objective=Difficulty.objective'],['Role_Frame_Economic_difficulty_objective']
Binding_905,['Role_Frame_Governing_action_governed'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Taxation.tax_payer=Governing action.governed'],['Role_Frame_Taxation_tax_payer']
Binding_328,['Role_Frame_Experiencing_a_state_standard'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Experiencing an economic status.standard of living=Experiencing a state.standard'],['Role_Frame_Experiencing_an_economic_status_standard_of_living']
Binding_337,['Role_Frame_Harm_to_living_entity_victim'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Fierce animal.endangered_entity=Harm to living entity.victim'],['Role_Frame_Fierce_animal_endangered_entity']
Binding_451,['Role_Frame_Governing_action_non_normative_governing_actions'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Government executive action.non-normative_executive_actions=Governing action.non-normative_governing_actions'],['Role_Frame_Government_executive_action_non_normative_executive_actions']
Binding_208,['Role_Frame_Cause_harm_agent'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Crime.criminal=Cause harm.agent'],['Role_Frame_Crime_criminal']
Binding_595,['Role_Frame_Governing_action_non_normative_governing_actions'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Legislative action.legislative_non-normative_actions=Governing action.non-normative_governing_actions'],['Role_Frame_Legislative_action_legislative_non_normative_actions']
Binding_356,['Role_Frame_Liquid_liquid'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Fluid motion.fluid=Liquid.liquid'],['Role_Frame_Fluid_motion_fluid']
Binding_790,['Role_Frame_process_process'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Relation.relation=process.process'],['Role_Frame_Relation_relation']
Binding_55,['Role_Frame_Harm_to_living_entity_victim'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Attacking.attacked=Harm to living entity.victim'],['Role_Frame_Attacking_attacked']
Binding_429,['Role_Frame_Government_decision_making_Caused_change_of_state'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Government decision making.decision_making_process=Caused change of state'],['Role_Frame_Government_decision_making_decision_making_process']
Binding_784,['Role_Frame_Competition_competition_competitor1'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Recreational competition.competitor_1=Competition.competition_competitor1'],['Role_Frame_Recreational_competition_competitor_1']
