source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,fire,38,2012,WEB,tomorrowsworld.org,,,,"sorcerers, idolaters, and all liars shall have their part in the lake which burns with fire and brimstone, which is the second death "" (Revelation 21:8)",,,,,,,,,,,,,,,,,,0
burn,fire,39,2012,WEB,reformed.org,,,,"For ye are not come unto the mount that might be touched, and that burned with fire, nor unto blackness, and darkness, and tempest, and the",,,,,,,,,,,,,,,,,,0
burn,fire,40,2012,WEB,bible.cc,,,,", and the false prophet, will have their portion together in the lake that burns with fire, Revelation 20:10 the same character as here is given of Judas,",,,,,,,,,,,,,,,,,,0
burn,fire,41,2012,WEB,bible.cc,,,,", an offering made by fire unto the Lord: for these lambs were both burnt with fire upon the altar, and therefore are called a burnt offering in the",,,,,,,,,,,,,,,,,,0
burn,fire,42,2012,BLOG,...maschke.blogspot.com,,,,"of your life. It can only contain as much love as it has been burned with fire and the passion of that which has been your greatest pain, and",,,,,,,,,,,,,,,,,,0
burn,fire,43,2012,BLOG,...proclaimthefaith.org,,,,"neither mollified with ointment. Isa 1:7 Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it",,,,,,,,,,,,,,,,,,0
burn,fire,46,2012,BLOG,ncregister.com (2),,,,"the daughter of a priest found to be a harlot was to "" be burned with fire. "" I believe this verse was also used to justify the burning",,,,,,,,,,,,,,,,,,0
burn,fire,47,2012,BLOG,christourvision.net,,,,"is idolatry) # all liars # their portion will be in the lake that burns with fire and sulfur, which is the second death. "" # Revelations 21:27",,,,,,,,,,,,,,,,,,0
burn,fire,48,2012,BLOG,atbash.net,,,,"day, death, and mourning, and famine; and she shall be utterly burned with fire: for strong is the Lord God who judgeth her. 9 And",,,,,,,,,,,,,,,,,,0
burn,fire,49,2012,BLOG,...rdfalk.wordpress.com,,,,"up, neither mollified with ointment. Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it",,,,,,,,,,,,,,,,,,0
burn,fire,50,2011,MOV,The Girl with the Dragon Tattoo,,,,"priest who profanes herself by playing the harlot, profanes her father and shall be burned with fire. "" Magda Lovisa Sj? berg, 1960. Found in a",,,,,,,,,,,,,,,,,,0
burn,fire,51,2009,NEWS,NYTimes,,,,", it sounded like a machine in my head, and my eyes were like burning with fire.' # He is on the witness list to testify against Duch",,,,,,,,,,,,,,,,,,0
burn,fire,52,2007,FIC,HudsonRev,,,,"mount up. Washed with cold water, his face, especially his eyes, burned with fire, a chill ran down his spine, and something trembled rapidly and",,,,,,,,,,,,,,,,,,0
burn,fire,53,2006,FIC,ArkansasRev,,,,"and it had warmed up close to sixty degrees outside. My face was still burning with fire even after I tried washing my eyes in the bathroom sink, sticking",,,,,,,,,,,,,,,,,,0
burn,fire,54,2006,MAG,ChildLife,,,,"gathered around them. "" Repent, repent, ye wicked witches. Ye shall burn with fire and brimstone! "" Sarah English closed her book with a snap.",,,,,,,,,,,,,,,,,,0
burn,fire,55,2005,MOV,I'm Going to Tell You a Secret,,,,", idolaters, and all liars... their lot shall be in the lake that burns with fire.' And he said to me,' Do not seal up",,,,,,,,,,,,,,,,,,0
burn,fire,56,2003,ACAD,ChurchHistory,,,,"might live to see "" the Pope and Mahomet... flung into the Lake that burns with Fire and Brimstone. "" (n48) Fox had argued that Quakerism had",,,,,,,,,,,,,,,,,,0
burn,fire,57,2001,FIC,Tikkun,,,,"out of the midst of a bush: and he looked and behold the bush burned with fire, but the bush was not consumed. And Moses said, """,,,,,,,,,,,,,,,,,,0
burn,fire,58,1999,MAG,Antiques,,,,"smarting with blisters, and literally speaking I have my part in the lake that burns with fires and brimstone, for I can compare it to nothing else.5 Blistering was",,,,,,,,,,,,,,,,,,0
burn,fire,59,1997,FIC,Radiance,,,,". These hips, aaah these hips have felt tongue tracks of love and desire burnt with fire carry me high. This body has grown large to hold the living",,,,,,,,,,,,,,,,,,0
burn,fire,60,1996,TV,Millennium,,,,in a maritime city. You'll have your part in the lake... which burns with fire... and brimstone. I know you like it. I know you,,,,,,,,,,,,,,,,,,0
burn,fire,61,1996,TV,Millennium,,,,in a maritime city. You'll have your part in the lake... which burns with fire and brimstone. That's from Revelations. Death and hell were cast,,,,,,,,,,,,,,,,,,0
