source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,shame,2,2015,FIC,LegalStudiesForum,,,,"back of the crowd, hiding my face with the tail of my t-shirt, burning with shame. After five minutes of her yeUing, the door opened slowly and",,,,,,,,,,,,,,,,,ambition,1
burn,shame,3,2014,FIC,Bk:LastTaxiRideRanjit,,,,"Sikhs? "" # "" No. "" He feels the back of his neck burn with shame. # "" I'm sorry. I shouldn't have said that",,,,,,,,,,,,,,,,,anger,23
burn,shame,4,2014,FIC,VirginiaQRev,,,,"when you're at school, it's a living room.' "" I burned with shame, then anger. Years later, I finally figured out that my",,,,,,,,,,,,,,,,,anguish,3
burn,shame,5,2014,FIC,FantasySciFi,,,,"Ever had a mail-order bride ditch you at the altar? "" Chris's face burned with shame. "" No! "" he said. "" You're a lousy",,,,,,,,,,,,,,,,,animosity,2
burn,shame,6,2013,FIC,Bk:Caretaker,,,,"joins in the laughter, the shotgun barrel wobbling with hilarity. # Ranjit's neck burns with shame. # The truly enlightened ones Are those... # "" Come on",,,,,,,,,,,,,,,,,annoyance,2
burn,shame,7,2012,FIC,Bk:LuckyInLove,,,,"your entire class. "" # Mallory was surprised to find that she could still burn with shame at the memory. "" Because you wouldn't let me go to",,,,,,,,,,,,,,,,,anticipation,1
burn,shame,11,2011,FIC,NewEnglandRev,,,,", to know, command, and possess! But brimming with pride, hearts burning with shame, we reach our hands out to you, and beg you to",,,,,,,,,,,,,,,,,anxiety,2
burn,shame,12,2009,FIC,AntiochRev,,,,"him as mysterious is that, in spite of his trembling hands and his face burning with shame, he's glad he helped Linscott. If he's been used",,,,,,,,,,,,,,,,,ardor,1
burn,shame,14,2006,FIC,VirginiaQRev,,,,"of his own small misery, Landsman could be stubborn, too. Satisfied, burning with shame, he would watch unfold the grim destiny that he had been unable",,,,,,,,,,,,,,,,,compassion,2
burn,shame,15,2005,FIC,NewYorker,,,,"said she was silly, hysterical, call it what you like, Della, burning with shame and sorrow for her daughter's poor breasts, did not address a",,,,,,,,,,,,,,,,,confidence,1
burn,shame,16,2005,FIC,Bk:JoyComesMorning,,,,"the first time he had called her a transvestite. Remembering it now, she burned with shame and indignation. He had pretended it was a joke and flashed her",,,,,,,,,,,,,,,,,conviction,1
burn,shame,18,2004,FIC,VirginiaQRev,,,,"for a moment he wished he could put them on his face, his cheeks burning with shame. # "" I'm not just talking about Kenny, "" she",,,,,,,,,,,,,,,,,curiosity,7
burn,shame,20,2003,FIC,LiteraryRev,,,,"he grew old enough to understand they were laughing at him, and his cheeks burned with shame. # Letting his hand linger over a trill in order to give",,,,,,,,,,,,,,,,,desire,23
burn,shame,21,2002,FIC,FantasySciFi,,,,failed them. Just one night of peace. That's all. Then I burned with shame and tried to force the thoughts from my soul. # I went,,,,,,,,,,,,,,,,,determination,2
burn,shame,22,2002,FIC,NewEnglandRev,,,,"n't give her anything worth having. She shined with pride that day; I burned with shame. # I took one last look around, found Charly under the",,,,,,,,,,,,,,,,,disappointment,1
burn,shame,23,2001,FIC,Mov:Believer,,,,"they? She smiles. He manages a smile back and hurries away, face burning with shame. EXT. MOEBIUS APARTMENT, STREET -- NIGHT Danny comes out of",,,,,,,,,,,,,,,,,discomfort,1
burn,shame,24,1998,FIC,KenyonRev,,,,the woman. He pushed his hat sharply forward over his face which was already burning with shame. The sneering ghost he had seen in the train window and all,,,,,,,,,,,,,,,,,discovery,1
burn,shame,25,1998,FIC,KenyonRev,,,,"all a man could carry into death to give his Maker, and he suddenly burned with shame that he had so little of it to take with him. He",,,,,,,,,,,,,,,,,eagerness,1
burn,shame,26,1998,FIC,LiteraryRev,,,,""" Yeah, that's right. And fartin. "" # Victor's face burnt with shame. It was difficult for a man of culture and dignity to deal",,,,,,,,,,,,,,,,,ecstasy,1
burn,shame,27,1994,FIC,CreativeWoman,,,,fluid seeped down between her legs. Nina's heart beat quickly and her body burned with shame. What had happened with Petar... She could barely comprehend it.,,,,,,,,,,,,,,,,,embarassment,2
burn,shame,28,1994,FIC,FantasySciFi,,,,"s stink. "" # I looked down at the boy. His eyes were burning with shame and rage and hatred. Save as much of the human race as",,,,,,,,,,,,,,,,,embarrassment,21
burn,shame,29,1992,FIC,Ploughshares,,,,"let him lead me by the shoulder into the dance, and, though often burning with shame, stuck out three years in that club, an inch at a",,,,,,,,,,,,,,,,,emotion,1
burn,shame,30,1992,FIC,ChicagoRev,,,,"you. "" Joseph, taking the implements from the man, felt his ears burning with shame. So there had been no need to try and tear open the",,,,,,,,,,,,,,,,,envy,7
burn,shame,32,1991,FIC,Mov:Backdraft,,,,"this. (the suit' n tie) Wake up, kid. Brian burns with shame and anger as Adcox walks away. Stephen hands Brian a towel.",,,,,,,,,,,,,,,,,excitement,5
burn,shame,33,1990,FIC,Bk:PillarLight,,,,"the power of the resurrected Christ. He dropped to his knees with Thomas, burning with shame for doubting the disciples' testi- p83 mony and demanding to see for",,,,,,,,,,,,,,,,,fear,1
burn,fever,25,2003,FIC,Salmagundi,,,,"eyes, the father who sees not the body, but the soul. She burned with fever now, but longed for fires not of flesh, to burn and",,,,,,,,,,,,,,,,,fever,2
burn,embarrassment,1,2016,FIC,Bk:GoodNeighbor,,,,"the mere faade of moving forward had left me aglow. # Tonight my cheeks burned with embarrassment. # "" Well, I have to tell you, I'm",,,,,,,,,,,,,,,,,fright,1
burn,embarrassment,2,2015,FIC,Bk:SpringBridesYear,,,,"T-shirts and peg-leg jeans? Oh, to be twenty-two again. "" # Susanna burned with embarrassment, breathing deep, refusing her soul the sweetness of firing off a",,,,,,,,,,,,,,,,,frustration,4
burn,embarrassment,3,2012,FIC,Bk:LifeJoy,,,,"be baptized together. "" # "" Oh, "" Lindsay said, her cheeks burning with embarrassment. She knew that this issue would come up at some point,",,,,,,,,,,,,,,,,,fury,7
burn,embarrassment,4,2012,FIC,Bk:LastChanceBeauty,,,,"curled upward. The man ought to have a quizzing glass. # Her face burned with embarrassment. She had managed to tell the truth, and now she would",,,,,,,,,,,,,,,,,gratitude,1
burn,embarrassment,5,2012,FIC,Bk:RunFromFear,,,,"crockery was enough to jolt her from her stupor, and she felt her cheeks burn with embarrassment as she scrambled to clean up the mess. Real smooth, Talia",,,,,,,,,,,,,,,,,grief,2
burn,embarrassment,6,2012,FIC,Analog,,,,"Jones was thoroughly on die side of die giants, but a part of him burned with embarrassment at this humiation of a feUow human. # Then Baz set the",,,,,,,,,,,,,,,,,guilt,3
burn,embarrassment,7,2012,FIC,Bk:TumbleweedsNovel,,,,"written. The teachers praised the neatness of her papers and her penmanship while she burned with embarrassment under her classmates' sidelong gazes, but not enough to make herself",,,,,,,,,,,,,,,,,hate,17
burn,embarrassment,12,2011,FIC,Storyworks,,,,", pink, furry mess from my line and my rod. My ears were burning with embarrassment. # "" It's not funny, "" I said, fighting",,,,,,,,,,,,,,,,,humiliation,7
burn,embarrassment,13,2010,FIC,Analog,,,,"is a display in the LM. "" None ofthat was nonsense? My face burned with embarrassment. I had a lot to learn. The guidance team reported that",,,,,,,,,,,,,,,,,hysteria,1
