,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
52,back,time,2012,BLOG,...istrue.wordpress.com,He also invented time (and lots of it) and sent Adam and Eve back in time so that their later replications would have chance to learn understand that you,He also invented time (and lots of it) and sent Adam and Eve back in time so that their later replications would have chance to learn understand that you,b599b16534928e2fe4e8256243925b2d
53,back,time,2012,BLOG,sheepsheadbites.com,geared toward a particular market. # I have actually flown Transaero airlines within russian back in time when they were not making transatlantic flights. In comparison with other russian,geared toward a particular market. # I have actually flown Transaero airlines within russian back in time when they were not making transatlantic flights. In comparison with other russian,d37ecffb91f182d54d42d414ad6665eb
54,back,time,2012,BLOG,...andmore.blogspot.com,camaraderie rekindles the sights and sounds of a different time and we regress with Dottie back in time to 1943 -- the height of the war. # Recently married Dottie,camaraderie rekindles the sights and sounds of a different time and we regress with Dottie back in time to 1943 -- the height of the war. # Recently married Dottie,313d404d64fe2fa412ce0d67e68aa62d
55,back,time,2010,FIC,Bk:PlanetHunters,blip of space's curvature to map out the shape of our universe as far back in time as light could travel. Apparently there were extra spatial dimensions out there,blip of space's curvature to map out the shape of our universe as far back in time as light could travel. Apparently there were extra spatial dimensions out there,3ed4e330f61ea890f33bec929eea6902
56,back,time,2010,FIC,Bk:HighlandersHomecoming,"where, "" Jesse explained. "" When. They're talking about sending Leah back in time. "" "" That's crazy. "" Robert fought the urge to","where, "" Jesse explained. "" When. They're talking about sending Leah back in time. "" "" That's crazy. "" Robert fought the urge to",35f71b1f2c856797a79b56d1f05c827f
57,back,time,2009,NEWS,Atlanta,"of how many weeks --- two, three --- the Braves figure on getting Anderson back in time for Opening Day and that's the key. # I went over","of how many weeks --- two, three --- the Braves figure on getting Anderson back in time for Opening Day and that's the key. # I went over",cb7343ac1eb7efecc55d1e0ede36c113
58,back,time,2009,TV,The Universe,and then it reverses its polarity and comes back. But you can trace this back in time... and the auroras are one of the best markers of that.,and then it reverses its polarity and comes back. But you can trace this back in time... and the auroras are one of the best markers of that.,0a31ee56202ac4dde9f64dff5948f1d8
59,back,time,2008,FIC,Scholastic,"57698 WHEN A MYSTERIOUS WEAPON SENDS JASON BACK IN TIME TO ANCIENT CHINA, HE MUST JOIN A GROUP OF WARRIORS AND DEFEAT","57698 WHEN A MYSTERIOUS WEAPON SENDS JASON BACK IN TIME TO ANCIENT CHINA, HE MUST JOIN A GROUP OF WARRIORS AND DEFEAT",bddc7cd8f88e3f3816c60e90e7808085
60,back,time,2008,NEWS,USAToday,the role. Then we moved into an ennui; the story seemed too far back in time. But finally the commercial community got more open to it. It,the role. Then we moved into an ennui; the story seemed too far back in time. But finally the commercial community got more open to it. It,cace34c5e372bf0797d91453dad7a89c
61,back,time,2008,TV,American Dad!,"junk out of here! Whe would a Communist go? Cuba? China? Back in time to kill Betsy Ross? Dad, you're finally home! I","junk out of here! Whe would a Communist go? Cuba? China? Back in time to kill Betsy Ross? Dad, you're finally home! I",46c8264ef2b3490155a09762bbaf81ac
