,lemma_1,lemma_2,year,genre,source,text,clean_text
25,thought,thing,2012,BLOG,...eoples.wordpress.com,"both touch on the idea of thoughts creating reality. Have you read them? Thoughts are things! PLEASE, quit destroying our world with your lack of rational,","both touch on the idea of thoughts creating reality. Have you read them? Thoughts are things! PLEASE, quit destroying our world with your lack of rational,"
26,thought,thing,2012,BLOG,...tart.bizjournals.com,"some free ice cream. # They probably will once they read this. # Thoughts are things, as my","some free ice cream. # They probably will once they read this. # Thoughts are things, as my"
27,thought,thing,2012,BLOG,...rystals.blogspot.com,with a hundred actions which lead to the circumstances we find ourselves in today. Thoughts are things and the mind is the builder. The free will we use to,with a hundred actions which lead to the circumstances we find ourselves in today. Thoughts are things and the mind is the builder. The free will we use to
28,idea,thing,2015,SPOK,Fox: The Five,s the budget maven. Maybe he can do something. But Paul Ryan's ideas were things like we need to transfer Medicare from an entitlement program to a voucher,s the budget maven. Maybe he can do something. But Paul Ryan's ideas were things like we need to transfer Medicare from an entitlement program to a voucher
29,idea,thing,2012,WEB,thedailymind.com,"trouble over a tiny little calcification! # Like I said, most of these ideas are things that I used when I was in bed with the saliva gland stone","trouble over a tiny little calcification! # Like I said, most of these ideas are things that I used when I was in bed with the saliva gland stone"
30,relationship,thing,2012,WEB,ask.metafilter.com,", with that in mind: # It's important to me to have my relationships be things my partners and I actively choose to be in. I don't",", with that in mind: # It's important to me to have my relationships be things my partners and I actively choose to be in. I don't"
31,relationship,thing,2012,WEB,abestweb.com,). # Maybe what makes me feel as bad as anything about the merchant-affiliate relationship are things like the thread started a couple of days ago when a merchant posted,). # Maybe what makes me feel as bad as anything about the merchant-affiliate relationship are things like the thread started a couple of days ago when a merchant posted
32,relationship,thing,2012,BLOG,...lastpsychiatrist.com,play some role in this. You seem to want to make it sound like relationships are things that happen to people and not dynamics that both people engage in and,play some role in this. You seem to want to make it sound like relationships are things that happen to people and not dynamics that both people engage in and
33,opportunity,way,1996,SPOK,CNN_Burden,"They need people that are doing that. And all of those types of programmatic opportunities are ways that kids can interface with adults, that they can get involved with","They need people that are doing that. And all of those types of programmatic opportunities are ways that kids can interface with adults, that they can get involved with"
34,quantity,size,2012,BLOG,...discovermagazine.com,"distinct from other KBOs shifts the focus to quantitative differences (whether that quantity is size, number of years since discovery or whatever). # I think we are","distinct from other KBOs shifts the focus to quantitative differences (whether that quantity is size, number of years since discovery or whatever). # I think we are"
35,debate,combat,2008,FIC,ScholScope,"is holding debate tryouts. Forty students cram into his living room. TOLSON: Debate is combat. Your weapons are words. N2: Tolson writes "" hot spot","is holding debate tryouts. Forty students cram into his living room. TOLSON: Debate is combat. Your weapons are words. N2: Tolson writes "" hot spot"
36,debate,combat,2007,SPOK,ABC_Nightline,"Wiley College taking on the national titans and winning. DENZEL-WASHINGTON-# Gentlemen and lady, debate is combat, but your weapons are words. DIANE-SAWYER-1-AB# (Voiceover) Denzel Washington directs and","Wiley College taking on the national titans and winning. DENZEL-WASHINGTON-# Gentlemen and lady, debate is combat, but your weapons are words. DIANE-SAWYER-1-AB# (Voiceover) Denzel Washington directs and"
