,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
19,temporal,region,2011,TV,Body of Proof,head trauma? (Ethan) Uh... yep. Blunt force trauma to the temporal region. Maybe something fell on her in the fire? I don't think,head trauma? (Ethan) Uh... yep. Blunt force trauma to the temporal region. Maybe something fell on her in the fire? I don't think,e759acbb1fc81eda908d628adcbc3b3f
20,temporal,region,2009,SPOK,NPR_FreshAir,"the left hemisphere of my brain, right near the center and deep into the temporal region. So the thing about blood in the brain is that brain cells,","the left hemisphere of my brain, right near the center and deep into the temporal region. So the thing about blood in the brain is that brain cells,",f2b86de75fd971d27e191041213e8ff4
21,temporal,region,2006,ACAD,SportBehavior,"interpreted by the author as indicating a decrease in allocation of neural resources to the temporal region # Alternately, it could be that the global decrease in alpha was actually","interpreted by the author as indicating a decrease in allocation of neural resources to the temporal region # Alternately, it could be that the global decrease in alpha was actually",da8daa70366c28aceaf9aefd173d7fa8
22,temporal,region,2006,ACAD,SportBehavior,"F (1, 14) = 8.790, p =. 010) in temporal regions (T3 and T4). The same was true for the motor cortex","F (1, 14) = 8.790, p =. 010) in temporal regions (T3 and T4). The same was true for the motor cortex",000c35486820041b14b24f562f1cdafd
23,temporal,region,2006,ACAD,SportBehavior,"beta1 and beta2 activity at central and right temporal sites, but not at left temporal regions. Interestingly, the same pattern of central and right temporal correlations held when","beta1 and beta2 activity at central and right temporal sites, but not at left temporal regions. Interestingly, the same pattern of central and right temporal correlations held when",ee3b71876361bbcdbf36fbe0c0cc3b4a
24,temporal,region,2006,ACAD,HumanEcology,"activity in "" mirror "" regions of the right brain (the right-hemisphere frontal and temporal regions and anterior cingulate gynus) that normal-reading children rarely use. Before their training","activity in "" mirror "" regions of the right brain (the right-hemisphere frontal and temporal regions and anterior cingulate gynus) that normal-reading children rarely use. Before their training",c77def9761d35493f29dcef20a6e5eb9
25,temporal,region,2005,FIC,Bk:Suspect,"I know about Malcolm? He has a primary brain tumor in the right posterior temporal region, dangerously close to his brain stem. The tumor has left him partially","I know about Malcolm? He has a primary brain tumor in the right posterior temporal region, dangerously close to his brain stem. The tumor has left him partially",7894a2c82d8cdcbda13b1eeee30e06b5
26,temporal,region,2005,ACAD,EarNoseThroat,"After an initial clinical evaluation, we ordered computed tomography (CT) of the temporal region to exclude osseous atresia of the external auditory canal and to ascertain the normal","After an initial clinical evaluation, we ordered computed tomography (CT) of the temporal region to exclude osseous atresia of the external auditory canal and to ascertain the normal",99817f75496ee32d23ea86b6ccc6da01
27,temporal,region,2004,TV,The Guardian,right. Mr. Fallin comes to us with a closed-head injury to the right temporal region. He experienced soft-tissue swelling but no evidence of intracranial hemorrhage. Uh...,right. Mr. Fallin comes to us with a closed-head injury to the right temporal region. He experienced soft-tissue swelling but no evidence of intracranial hemorrhage. Uh...,7718f069c3f8eecbb3ea876c59673045
28,temporal,region,2002,TV,Law & Order,"tougher last day. Ripped By mstoll BORAK: Single gunshot wound to the lower temporal regions of the brain. Also found defensive wounds on the hands and arms,","tougher last day. Ripped By mstoll BORAK: Single gunshot wound to the lower temporal regions of the brain. Also found defensive wounds on the hands and arms,",8646cbe3ba21af5ea3e4944813ac3810
29,temporal,region,2001,MAG,PsychToday,"that take place during the birth of a memory. What happens in frontal and temporal regions during those critical moments determines, at least in part, whether an experience","that take place during the birth of a memory. What happens in frontal and temporal regions during those critical moments determines, at least in part, whether an experience",5d0869bff729f64289cfb81bda78e772
30,temporal,region,2000,ACAD,MusicEduc,"but often involves left hemispheric processing. This study also revealed increased activity in the temporal regions (auditory centers) of both brain hemispheres while children (average age,","but often involves left hemispheric processing. This study also revealed increased activity in the temporal regions (auditory centers) of both brain hemispheres while children (average age,",a984dc4abf7f9371e45edab9ae49964a
31,temporal,region,1999,ACAD,Monist,"activation of the superior temporal gyms, word retrieval showed an activation of the posterior temporal region and prefrontal region on the left side. 9 A PET study in healthy individuals","activation of the superior temporal gyms, word retrieval showed an activation of the posterior temporal region and prefrontal region on the left side. 9 A PET study in healthy individuals",00b5a77632a00ff12af1cdbfd9a120fb
32,temporal,region,1999,ACAD,Monist,"auditory and speech information processing. For instance, an increased activation of the superior temporal region in schizophrenic patients with acoustic hallucinations was shown in a SPECT-study. 25 The high","auditory and speech information processing. For instance, an increased activation of the superior temporal region in schizophrenic patients with acoustic hallucinations was shown in a SPECT-study. 25 The high",3a1cab916a91bee43f3a2b34425d2774
33,temporal,region,1998,ACAD,EarNoseThroat,"# Another problem one sometimes has to face is the very thin bone in the temporal region. We estimate that in some two-year-old children with auricular malformations, in certain","# Another problem one sometimes has to face is the very thin bone in the temporal region. We estimate that in some two-year-old children with auricular malformations, in certain",0443c6c3897a0a6a309b9d06d43625db
34,temporal,region,1997,ACAD,CurrentPsych,"Robertson, and Efron, 1986). These lesions are usually found in the temporal region, part of the ventral visual-processing system, which is consistent with the idea","Robertson, and Efron, 1986). These lesions are usually found in the temporal region, part of the ventral visual-processing system, which is consistent with the idea",8eb44995fb107e88d419f61b083cd103
35,temporal,region,1994,ACAD,MarineFish,"10,120). # To describe movement patterns, releases were grouped into three spatial/ temporal regions. Recaptures were grouped into the geographical location of recovery, taking into account","10,120). # To describe movement patterns, releases were grouped into three spatial/ temporal regions. Recaptures were grouped into the geographical location of recovery, taking into account",3fc90c8c6a6edbf5c47650532c4aacb9
36,temporal,region,1992,MAG,Essence,"is characterized by excruciating pain localized in the eye and radiating to the facial and temporal region, "" says Solomon. "" Attacks are usually similar and can last anywhere","is characterized by excruciating pain localized in the eye and radiating to the facial and temporal region, "" says Solomon. "" Attacks are usually similar and can last anywhere",15bd187d05aa8ad03ed0a778ec499cb3
37,temporal,region,1992,ACAD,RoeperReview,through the visual-spatial portion of the brain before it is appropriately channeled to the left temporal region of the brain. This slight delay may result in an inability to 6'keep,through the visual-spatial portion of the brain before it is appropriately channeled to the left temporal region of the brain. This slight delay may result in an inability to 6'keep,fdb7d3890c1e040fad8dab04fbbe7811
38,temporal,area,2019,FIC,Analog,"Using very fine electrical control, young Homo quantus can send micro-currents to the left temporal area reducing the ability to process words, but boosting right-brain circuits that do spatial","Using very fine electrical control, young Homo quantus can send micro-currents to the left temporal area reducing the ability to process words, but boosting right-brain circuits that do spatial",80be2c7e0090e9d51c6a845ca9f6dccf
39,temporal,area,2018,FIC,Analog,"batteries. Belisarius sent a sustained, polarized micro-current from his electroplaques into the left temporal area of his brain, an area associated with sensory input and language. After","batteries. Belisarius sent a sustained, polarized micro-current from his electroplaques into the left temporal area of his brain, an area associated with sensory input and language. After",1befafda313dfd8df883ce6039262e71
40,temporal,area,2017,ACAD,Neuron,"of self-motion cues are further processed in parietal/superior temporal cortices (i.e., medial superior temporal area MST, ventral intraparietal area VIP, and 7a), thus providing an","of self-motion cues are further processed in parietal/superior temporal cortices (i.e., medial superior temporal area MST, ventral intraparietal area VIP, and 7a), thus providing an",b95d58e65a9d37199dd2d38c038f56d7
41,temporal,area,2016,MAG,Medical Xpress,"that, indeed, somatosensory information reaches the putative ventral part of the medial superior temporal area, suggesting a possible integration between tactile and visual information... this integration may","that, indeed, somatosensory information reaches the putative ventral part of the medial superior temporal area, suggesting a possible integration between tactile and visual information... this integration may",1d5383361b44a76b344705d86c4967d4
42,temporal,area,2012,WEB,hindawi.com,"versions of the lateralization model focus on cortical, and more specifically frontal and anterior temporal areas, for example 36, with empirical support concerning music perception by for example","versions of the lateralization model focus on cortical, and more specifically frontal and anterior temporal areas, for example 36, with empirical support concerning music perception by for example",33ed81b197e57e069e4ae364e379cbed
43,temporal,area,2012,WEB,plosone.org,"but less stable representations distributed throughout the cortex, including frontal, parietal, and temporal areas that probably encode semantic information. By contrast, the voxels selected by the","but less stable representations distributed throughout the cortex, including frontal, parietal, and temporal areas that probably encode semantic information. By contrast, the voxels selected by the",11021e78697dbb98f37a78dafb9407ce
44,temporal,area,2012,WEB,...psyc.jamanetwork.com,"over time in widespread areas of the brain, most pronounced in the frontal and temporal areas, and progresses across the entire course of the illness. The excessive thinning","over time in widespread areas of the brain, most pronounced in the frontal and temporal areas, and progresses across the entire course of the illness. The excessive thinning",76f7c92381f7cc5d3d163c30b00541a0
45,temporal,area,2012,WEB,...psyc.jamanetwork.com,"after 5 years). The most extensive loss was found in the frontal and temporal areas, but posterior brain areas were also implicated. Thus, to our knowledge","after 5 years). The most extensive loss was found in the frontal and temporal areas, but posterior brain areas were also implicated. Thus, to our knowledge",c0d1f3f4a5099ca3c79b9a5edd8a4963
46,temporal,area,2012,WEB,...psyc.jamanetwork.com,"of the cortical mantle, with the largest loss of cortical thickness in frontal and temporal areas of the brain. Our findings suggest that excessive cortical thinning in these areas","of the cortical mantle, with the largest loss of cortical thickness in frontal and temporal areas of the brain. Our findings suggest that excessive cortical thinning in these areas",5ce0b8bb002949bc3e72ce122a53bd66
47,temporal,area,2012,WEB,hcn.org,"are condescending, arrogant, and are not able to see past your geographic or temporal area. So yeah, I guess responding to your post as something other than","are condescending, arrogant, and are not able to see past your geographic or temporal area. So yeah, I guess responding to your post as something other than",2719411ffb747585acc75665d260a7f4
48,temporal,area,2008,ACAD,RoeperReview,11.8-16.9 years). Other changes involved the left hemisphere in middle prefrontal and inferior temporal areas of the brain that facilitate language abilities and higher level cognitive skills related to,11.8-16.9 years). Other changes involved the left hemisphere in middle prefrontal and inferior temporal areas of the brain that facilitate language abilities and higher level cognitive skills related to,847449150594042b92329d5ebeda6f45
49,temporal,area,2008,ACAD,EarNoseThroat,upon awakening. He also noticed bi-frontal pressure in his head that extended across the temporal area and a feeling of dizziness with associated nausea. He remained in bed for,upon awakening. He also noticed bi-frontal pressure in his head that extended across the temporal area and a feeling of dizziness with associated nausea. He remained in bed for,d2299517bfa8444780f8387709e5a84b
50,temporal,area,2006,ACAD,EarNoseThroat,"the anesthesiologist to facilitate intubation, and a nerve-twitch monitor may be placed in the temporal area. # The skin incision is carried down across the strap muscles and,","the anesthesiologist to facilitate intubation, and a nerve-twitch monitor may be placed in the temporal area. # The skin incision is carried down across the strap muscles and,",fdb7a620eb779c46f7db53a6a63ba3be
51,temporal,area,2005,ACAD,EarNoseThroat,a preoperative anteroposterior view of woman with multicentric basal cell carcinoma of the forehead and temporal area. The tumor invaded the calvaria. B: The preoperative oblique view of,a preoperative anteroposterior view of woman with multicentric basal cell carcinoma of the forehead and temporal area. The tumor invaded the calvaria. B: The preoperative oblique view of,c1240441bd1f395be5843466d8a0ae9e
52,temporal,area,2005,ACAD,EarNoseThroat,outpatient setting. D: Postoperative anteroposterior view demonstrates the restoration of the forehead and temporal area with a hemiabdominal DIEP flap. # Figure 6. A coronal view on,outpatient setting. D: Postoperative anteroposterior view demonstrates the restoration of the forehead and temporal area with a hemiabdominal DIEP flap. # Figure 6. A coronal view on,3753e9c7562a2b077e4b4f1620f914c3
53,temporal,area,2002,ACAD,EarNoseThroat,of Utah Medical Center (UUMC) after he had been struck in the right temporal area by a nail approximately 3 inches in length. The patient had accidentally fired,of Utah Medical Center (UUMC) after he had been struck in the right temporal area by a nail approximately 3 inches in length. The patient had accidentally fired,288f075f4d96aa8bfb0052ea8cf64a0d
54,temporal,area,2002,ACAD,EarNoseThroat,approximately 2 cm of the nail (the flathead end) protruded from the right temporal area just posterior to the pterion. Findings on neurologic examination were within normal limits,approximately 2 cm of the nail (the flathead end) protruded from the right temporal area just posterior to the pterion. Findings on neurologic examination were within normal limits,dfc1273b870e41c7b11fbf5ee80733d6
55,temporal,area,1995,TV,Touched by an Angel,"do. What have we got? 17-year-old male, gunshot wound to the left temporal area, probably self-inflicted. Unresponsive at scene, stable vitals on route. Okay","do. What have we got? 17-year-old male, gunshot wound to the left temporal area, probably self-inflicted. Unresponsive at scene, stable vitals on route. Okay",60ec89867da662ec39e8549d326e13d8
56,temporal,area,1991,FIC,Mov:JFK,also a large piece of skull attached to a flap of skin in the right temporal area. FLASHBACK TO: Parkland Hospital Emergency Room on that day in 1963.,also a large piece of skull attached to a flap of skin in the right temporal area. FLASHBACK TO: Parkland Hospital Emergency Room on that day in 1963.,274cd190584d77601a44c989f6997425
57,temporal,location,2016,ACAD,Studies in the Novel,"Here, it seems at first as if the pronoun "" I, "" the temporal location of "" that day, "" and the spatial location of "" the tranquil","Here, it seems at first as if the pronoun "" I, "" the temporal location of "" that day, "" and the spatial location of "" the tranquil",7d2332a0fc9de629de9dd4bcf62d2960
