,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
26,place,time,1994,FIC,MassachRev,"#places, and no place at all, just the place of time and the sun fading, coffee in an unfamiliar cup, that","#places, and no place at all, just the place of time and the sun fading, coffee in an unfamiliar cup, that",d05b1fb17eddb541992aa4c5512cf2d4
27,region,time,1995,TV,Sliders,"#You need to maintain quantum coherence over a macroscopic compact region of time and space. The bridge, Conrad. We need to know","#You need to maintain quantum coherence over a macroscopic compact region of time and space. The bridge, Conrad. We need to know",99e3c2f744f58a9d6c3753873ebbf1ec
28,site,action,2019,ACAD,eLife,"#2016 (11)). The anatomic site of action (primary tumor or metastatic site or both), the particular stromal cell","#2016 (11)). The anatomic site of action (primary tumor or metastatic site or both), the particular stromal cell",dc5af399447c0be64187d7f87d9a1572
29,site,action,2019,ACAD,eLife,"#, from where it is offloaded to its site of action: the cell cortex (Figure 5A) (Markus and Lee, 2011b","#, from where it is offloaded to its site of action: the cell cortex (Figure 5A) (Markus and Lee, 2011b",c1f34f1163af2b2f5c87ef0e54934136
30,site,action,2019,ACAD,PLoS ONE,#aggression in rodents: from central release to sites of action. Horm Behav. 2012; 61:293-303. doi: **27;538;TOOLONG 22100184 # 39. Caldwell,#aggression in rodents: from central release to sites of action. Horm Behav. 2012; 61:293-303. doi: **27;538;TOOLONG 22100184 # 39. Caldwell,2e53b59d704e98821155a50c014b97a4
31,site,action,2019,ACAD,J Intl Soc Prev Comm Dent,"#which allows the light chain transportation to its site of action, that is, the protein complex. The light chain enzyme then cleaves","#which allows the light chain transportation to its site of action, that is, the protein complex. The light chain enzyme then cleaves",1a90005ab5727b69f1851ddc8c1f2fee
32,site,action,2018,ACAD,Studies in the Novel,"#the choral narrator, who is neither the site of action nor a source of knowledge. Indeed, where first-hand descriptions are made,","#the choral narrator, who is neither the site of action nor a source of knowledge. Indeed, where first-hand descriptions are made,",89da2156a89406366a815ef1c36d2012
33,site,action,2018,ACAD,Nature Reviews Microbiology,"#bacterial peptidoglycan layer is depicted, showing the sites of action of several peptidoglycan-degrading enzymes including N -acetylmuramoyl-L -alanine amidase (AmiD) and type","#bacterial peptidoglycan layer is depicted, showing the sites of action of several peptidoglycan-degrading enzymes including N -acetylmuramoyl-L -alanine amidase (AmiD) and type",fe1547cad1f9fb0f53dcd8b103a4bdcf
34,site,action,2017,ACAD,Neuron,"#membrane potential diffusion of second messenger to the site of action diffusion of Ca2+ to the nucleus, spread of the membrane potential to the","#membrane potential diffusion of second messenger to the site of action diffusion of Ca2+ to the nucleus, spread of the membrane potential to the",5a9e6f6118f8d9f27163a33a6a713c5f
35,site,action,2017,ACAD,Neuron,"#zone diffusion of second messenger away from the site of action diffusion of cGMP away from cationic channels in rod photoreceptor cells, attenuation of","#zone diffusion of second messenger away from the site of action diffusion of cGMP away from cationic channels in rod photoreceptor cells, attenuation of",941ca45b32cd7dd30aa978f3f139986a
36,site,action,2017,ACAD,Neuron,"#or diffusion of the target molecule to the site of action translocation of kinesin-bound GluR2 to dendrites, diffusion of Ca2+/CaM to the nucleus,","#or diffusion of the target molecule to the site of action translocation of kinesin-bound GluR2 to dendrites, diffusion of Ca2+/CaM to the nucleus,",878851121e875add20d94f109493088f
37,site,action,2017,ACAD,Neuron,#diffusion of the target molecule away from the site of action removal of AMPARs from the postsynaptic density synthesis of target molecule availability and activation,#diffusion of the target molecule away from the site of action removal of AMPARs from the postsynaptic density synthesis of target molecule availability and activation,3b9e0241bd68765507bf4b8b79005cb2
