name,label,hasLemma
LexicalUnit_3591,['flooded.a'],['flooded.a']
LexicalUnit_78,['ladder.n'],['ladder.n']
LexicalUnit_795,['sphere.n'],['sphere.n']
LexicalUnit_7032,['flow.v out'],['flow.v out']
LexicalUnit_8822,['underwater.adj'],['underwater.adj']
LexicalUnit_958,['cancerous.a'],['cancerous.a']
LexicalUnit_6914,['quicksand.n'],['quicksand.n']
LexicalUnit_6665,['leaves.n'],['leaves.n']
LexicalUnit_8345,['castoff.n'],['castoff.n']
LexicalUnit_1576,['garb.n'],['garb.n']
LexicalUnit_4998,['chaperone.n'],['chaperone.n']
LexicalUnit_3971,['vale.n'],['vale.n']
LexicalUnit_2386,['devastation.n'],['devastation.n']
LexicalUnit_1940,['infectivity.a'],['infectivity.a']
LexicalUnit_3966,['hill.n'],['hill.n']
LexicalUnit_3172,['sustainability.n'],['sustainability.n']
LexicalUnit_799,['delimited.a'],['delimited.a']
LexicalUnit_3077,['David Suzuki.n'],['David Suzuki.n']
LexicalUnit_8436,['authoritarianism.n'],['authoritarianism.n']
LexicalUnit_8747,['voter.n eligibility'],['voter.n eligibility']
LexicalUnit_5722,['methane.n'],['methane.n']
LexicalUnit_5402,['fly.v'],['fly.v']
LexicalUnit_3071,['tarpit.n'],['tarpit.n']
LexicalUnit_4922,['non-transparent.a'],['non-transparent.a']
LexicalUnit_5544,['slosh.v'],['slosh.v']
LexicalUnit_106,['breeze.n'],['breeze.n']
LexicalUnit_8262,['taut.a'],['taut.a']
LexicalUnit_3723,['crunchy.a'],['crunchy.a']
LexicalUnit_2565,['immunize.v'],['immunize.v']
LexicalUnit_1964,['sanitize.v'],['sanitize.v']
LexicalUnit_1973,['container.n'],['container.n']
LexicalUnit_4165,['access.n to guns'],['access.n to guns']
LexicalUnit_6426,['negativistic.a'],['negativistic.a']
LexicalUnit_3767,['cut.v through'],['cut.v through']
LexicalUnit_2531,['immune.a to'],['immune.a to']
LexicalUnit_2978,['electricity.n'],['electricity.n']
LexicalUnit_8070,['yummy.a'],['yummy.a']
LexicalUnit_7375,['swivel.n'],['swivel.n']
LexicalUnit_6275,['advance.v'],['advance.v']
LexicalUnit_6130,['install.v'],['install.v']
LexicalUnit_114,['air pollution.n'],['air pollution.n']
LexicalUnit_5932,['swing.v'],['swing.v']
LexicalUnit_2069,['environmental vandal.n'],['environmental vandal.n']
LexicalUnit_1633,['tank top.n'],['tank top.n']
LexicalUnit_5807,['foster mother.n'],['foster mother.n']
LexicalUnit_4117,['gun-ban.a'],['gun-ban.a']
LexicalUnit_4734,['hysteria.n'],['hysteria.n']
LexicalUnit_5001,['guide.v'],['guide.v']
LexicalUnit_8516,['stand.v up'],['stand.v up']
LexicalUnit_4608,['grease.n'],['grease.n']
LexicalUnit_808,['citadel.n'],['citadel.n']
LexicalUnit_2906,['carbonated.a'],['carbonated.a']
LexicalUnit_3154,['ethical energy usage.n'],['ethical energy usage.n']
LexicalUnit_3661,['pour.v'],['pour.v']
LexicalUnit_5262,['witch.n'],['witch.n']
LexicalUnit_8452,['tyranny.n'],['tyranny.n']
LexicalUnit_6257,['dad.n'],['dad.n']
LexicalUnit_1015,['stage 2.n'],['stage 2.n']
LexicalUnit_468,['road block.n'],['road block.n']
LexicalUnit_2182,['menace.v'],['menace.v']
LexicalUnit_7728,['din.n'],['din.n']
LexicalUnit_5072,['candle.n'],['candle.n']
LexicalUnit_4827,['buy.v stock in'],['buy.v stock in']
LexicalUnit_5824,['maternal love.n'],['maternal love.n']
LexicalUnit_1405,['global warming action plan.n'],['global warming action plan.n']
LexicalUnit_7217,['revere.v'],['revere.v']
LexicalUnit_2607,['stinking.a'],['stinking.a']
LexicalUnit_2691,['backslide.v'],['backslide.v']
LexicalUnit_1955,['face-shield.n'],['face-shield.n']
LexicalUnit_8449,['totalitarian.a'],['totalitarian.a']
LexicalUnit_8481,['dummy.n'],['dummy.n']
LexicalUnit_1797,['jerry-rigged.a'],['jerry-rigged.a']
LexicalUnit_2029,['valorous.a'],['valorous.a']
LexicalUnit_4500,['hilarity.n'],['hilarity.n']
LexicalUnit_3158,['minimalism.n'],['minimalism.n']
LexicalUnit_7550,['maid.n'],['maid.n']
LexicalUnit_8630,['sideswipe.n'],['sideswipe.n']
